,Netzeinspeisung [kW],Haushaltslast [kW],Netzbezug [kW],PV-Erzeugung [kW],V2G Entladung ins Haus [kW]
2022-01-01 00:00:00,0.0,0.1323333333333333,0.0,0.0,0.0
2022-01-01 00:15:00,0.0,0.1536,0.0,0.0,11.0
2022-01-01 00:30:00,0.0,0.0998666666666666,0.0,0.0,11.0
2022-01-01 00:45:00,0.0,0.1444,0.0,0.0,11.0
2022-01-01 01:00:00,0.0,0.2248,0.0,0.0,11.0
2022-01-01 01:15:00,0.0,0.5275333333333333,0.0,0.0,0.0
2022-01-01 01:30:00,0.0,0.9406666666666668,0.0,0.0,11.0
2022-01-01 01:45:00,0.0,0.4066,0.0,0.0,11.0
2022-01-01 02:00:00,0.0,0.3546666666666667,0.0,0.0,11.0
2022-01-01 02:15:00,0.0,0.67,0.0,0.0,11.0
2022-01-01 02:30:00,0.0,0.9138666666666668,0.0,0.0,11.0
2022-01-01 02:45:00,0.0,0.3400666666666667,0.0,0.0,11.0
2022-01-01 03:00:00,0.0,0.4004,0.0,0.0,11.0
2022-01-01 03:15:00,0.0,0.3491333333333333,0.0,0.0,11.0
2022-01-01 03:30:00,0.0,0.3118666666666667,0.0,0.0,11.0
2022-01-01 03:45:00,0.0,0.3530666666666666,0.0,0.0,11.0
2022-01-01 04:00:00,0.0,0.2452666666666667,0.0,0.0,11.0
2022-01-01 04:15:00,0.0,0.2798666666666666,0.0,0.0,11.0
2022-01-01 04:30:00,0.0,0.2964,0.0,0.0,11.0
2022-01-01 04:45:00,0.0,0.3635333333333334,0.0,0.0,11.0
2022-01-01 05:00:00,0.0,0.3740666666666666,0.0,0.0,11.0
2022-01-01 05:15:00,0.0,0.5979333333333333,0.0,0.0,11.0
2022-01-01 05:30:00,0.0,0.7022666666666667,0.0,0.0,11.0
2022-01-01 05:45:00,0.0,0.4556666666666666,0.0,0.0,11.0
2022-01-01 06:00:00,0.0,0.4804,0.0,0.0,11.0
2022-01-01 06:15:00,0.0,0.6252000000000001,0.6252,0.0,0.0
2022-01-01 06:30:00,0.0,0.4194,0.4194,0.0,0.0
2022-01-01 06:45:00,0.0,0.2796,0.2796,0.0,0.0
2022-01-01 07:00:00,0.0,0.4166666666666667,0.41666667,0.0,0.0
2022-01-01 07:15:00,0.0,0.3558666666666666,0.35586667,0.0,0.0
2022-01-01 07:30:00,0.0,0.2046666666666666,0.20466667,0.0,0.0
2022-01-01 07:45:00,0.0,0.1764,0.1764,0.0,0.0
2022-01-01 08:00:00,0.0,0.1749333333333333,0.17493333,0.0,0.0
2022-01-01 08:15:00,0.0,0.2198,0.2198,0.0,0.0
2022-01-01 08:30:00,0.0,0.1875333333333333,0.12544652,0.0620868159136948,0.0
2022-01-01 08:45:00,0.0,0.3526,0.07374375,0.2788562499193351,0.0
2022-01-01 09:00:00,0.34860434,0.2616666666666666,0.0,0.6113450924159455,0.0
2022-01-01 09:15:00,0.74424579,0.2326666666666666,0.0,0.9779865471582287,0.0
2022-01-01 09:30:00,1.1455052,0.1891999999999999,0.0,1.335779265945734,0.0
2022-01-01 09:45:00,1.4057154,0.189,0.0,1.6678746549278125,0.0
2022-01-01 10:00:00,0.0,0.2513333333333333,0.0,1.9684572488687224,0.0
2022-01-01 10:15:00,0.0,0.2422,0.0,2.2358442008143986,0.0
2022-01-01 10:30:00,0.0,0.1604666666666666,0.0,2.4697938358077525,0.0
2022-01-01 10:45:00,0.0,0.1947333333333333,0.0,2.6704999379397227,0.0
2022-01-01 11:00:00,0.0,0.1965333333333333,0.0,2.8382314569822698,0.0
2022-01-01 11:15:00,0.0,0.4806,0.0,2.9732170733508507,0.0
2022-01-01 11:30:00,0.0,1.1356666666666668,0.0,3.075620725775428,0.0
2022-01-01 11:45:00,0.0,1.0090666666666668,0.0,3.145548139924872,0.0
2022-01-01 12:00:00,0.0,0.3014,0.0,3.183060753322567,0.0
2022-01-01 12:15:00,0.0,1.0264666666666666,0.0,3.1881880164031307,0.0
2022-01-01 12:30:00,0.0,1.1770666666666667,0.0,3.160934652735456,0.0
2022-01-01 12:45:00,0.0,1.6657333333333333,0.0,3.101281717229873,0.0
2022-01-01 13:00:00,0.0,0.6249333333333332,0.0,3.009181380314018,0.0
2022-01-01 13:15:00,0.0,1.0491333333333337,0.0,2.8845461269011494,0.0
2022-01-01 13:30:00,0.0,1.1799333333333335,0.0,2.7272348701860967,0.0
2022-01-01 13:45:00,0.0,1.779,0.0,2.5370426869038614,0.0
2022-01-01 14:00:00,0.0,0.7312666666666666,0.0,2.3137114796726226,0.0
2022-01-01 14:15:00,0.0,0.3864666666666666,0.0,2.0570061368418733,0.0
2022-01-01 14:30:00,0.0,0.4057333333333333,0.0,1.7669698701225358,0.0
2022-01-01 14:45:00,0.0,0.636,0.0,1.4446529451679535,0.0
2022-01-01 15:00:00,0.0,0.5554,0.0,1.094082332587763,0.0
2022-01-01 15:15:00,0.0,0.659,0.0,0.7274026006100083,0.0
2022-01-01 15:30:00,0.0,0.479,0.0,0.3770394611610465,0.0
2022-01-01 15:45:00,0.0,0.4778666666666666,0.0,0.1134145653118581,0.0
2022-01-01 16:00:00,0.0,0.5534,0.0,0.0091449444978876,0.0
2022-01-01 16:15:00,0.0,1.2525333333333333,0.0,0.0,0.0
2022-01-01 16:30:00,0.0,1.5840666666666663,0.0,0.0,0.0
2022-01-01 16:45:00,0.0,2.8480666666666665,0.0,0.0,0.0
2022-01-01 17:00:00,0.0,0.9925333333333332,0.0,0.0,0.0
2022-01-01 17:15:00,0.0,0.7925333333333333,0.0,0.0,0.0
2022-01-01 17:30:00,0.0,0.9813333333333334,0.0,0.0,0.0
2022-01-01 17:45:00,0.0,1.4466666666666668,0.0,0.0,0.0
2022-01-01 18:00:00,0.0,2.318866666666666,0.0,0.0,0.0
2022-01-01 18:15:00,0.0,1.415266666666667,0.0,0.0,11.0
2022-01-01 18:30:00,0.0,1.6930666666666665,0.0,0.0,11.0
2022-01-01 18:45:00,0.0,1.935466666666667,0.0,0.0,11.0
2022-01-01 19:00:00,0.0,1.0458,0.0,0.0,11.0
2022-01-01 19:15:00,0.0,2.4528000000000003,0.0,0.0,11.0
2022-01-01 19:30:00,0.0,1.7986,0.0,0.0,11.0
2022-01-01 19:45:00,0.0,2.3024,0.0,0.0,11.0
2022-01-01 20:00:00,0.0,1.0412,0.0,0.0,11.0
2022-01-01 20:15:00,0.0,2.1322666666666668,0.0,0.0,11.0
2022-01-01 20:30:00,0.0,1.3131333333333337,0.0,0.0,11.0
2022-01-01 20:45:00,0.0,1.078733333333333,0.0,0.0,11.0
2022-01-01 21:00:00,0.0,0.9309333333333332,0.0,0.0,11.0
2022-01-01 21:15:00,0.0,0.6478666666666667,0.0,0.0,11.0
2022-01-01 21:30:00,0.0,1.5815333333333332,0.0,0.0,11.0
2022-01-01 21:45:00,0.0,1.2253333333333332,0.0,0.0,11.0
2022-01-01 22:00:00,0.0,0.7456,0.0,0.0,11.0
2022-01-01 22:15:00,0.0,0.7737333333333334,0.0,0.0,11.0
2022-01-01 22:30:00,0.0,0.7617333333333334,0.0,0.0,11.0
2022-01-01 22:45:00,0.0,0.7964666666666667,0.0,0.0,11.0
2022-01-01 23:00:00,0.0,0.5988,0.0,0.0,11.0
2022-01-01 23:15:00,0.0,0.5438666666666667,0.0,0.0,11.0
2022-01-01 23:30:00,0.0,0.5972666666666666,0.0,0.0,11.0
2022-01-01 23:45:00,0.0,0.4332666666666666,0.0,0.0,11.0
2022-01-02 00:00:00,0.0,0.2951999999999999,0.0,0.0,11.0
2022-01-02 00:15:00,0.0,0.6540666666666667,0.65406667,0.0,0.0
2022-01-02 00:30:00,0.0,0.4751333333333333,0.0,0.0,11.0
2022-01-02 00:45:00,0.0,0.5208666666666667,0.52086667,0.0,0.0
2022-01-02 01:00:00,0.0,0.5794,0.5794,0.0,0.0
2022-01-02 01:15:00,0.0,0.6374,0.6374,0.0,0.0
2022-01-02 01:30:00,0.0,0.5272666666666667,0.52726667,0.0,0.0
2022-01-02 01:45:00,0.0,0.4875333333333334,0.48753333,0.0,0.0
2022-01-02 02:00:00,0.0,0.4722,0.4722,0.0,0.0
2022-01-02 02:15:00,0.0,0.3793333333333333,0.0,0.0,11.0
2022-01-02 02:30:00,0.0,0.4254666666666666,0.42546667,0.0,0.0
2022-01-02 02:45:00,0.0,0.3618666666666666,0.36186667,0.0,0.0
2022-01-02 03:00:00,0.0,0.2255333333333333,0.22553333,0.0,0.0
2022-01-02 03:15:00,0.0,0.1861999999999999,0.1862,0.0,0.0
2022-01-02 03:30:00,0.0,0.2375333333333333,0.23753333,0.0,11.0
2022-01-02 03:45:00,0.0,0.2509333333333333,0.25093333,0.0,0.0
2022-01-02 04:00:00,0.0,0.2673999999999999,0.2674,0.0,0.0
2022-01-02 04:15:00,0.0,0.25,0.25,0.0,0.0
2022-01-02 04:30:00,0.0,0.2247333333333333,0.033756358,0.0,11.0
2022-01-02 04:45:00,0.0,0.2256666666666666,0.22566667,0.0,0.0
2022-01-02 05:00:00,0.0,0.2294,0.2294,0.0,0.0
2022-01-02 05:15:00,0.0,0.1875333333333333,0.18753333,0.0,0.0
2022-01-02 05:30:00,0.0,0.1748,0.1748,0.0,0.0
2022-01-02 05:45:00,0.0,0.1998666666666666,0.19986667,0.0,11.0
2022-01-02 06:00:00,0.0,0.2106666666666666,0.21066667,0.0,0.0
2022-01-02 06:15:00,0.0,0.2735333333333333,0.27353333,0.0,0.0
2022-01-02 06:30:00,0.0,0.2366,0.2366,0.0,0.0
2022-01-02 06:45:00,0.0,0.2502,0.2502,0.0,0.0
2022-01-02 07:00:00,0.0,0.1972666666666666,0.19726667,0.0,0.0
2022-01-02 07:15:00,0.0,0.2737333333333333,0.27373333,0.0,0.0
2022-01-02 07:30:00,0.0,0.2702,0.2702,0.0,0.0
2022-01-02 07:45:00,0.0,0.2416666666666666,0.24166667,0.0,0.0
2022-01-02 08:00:00,0.0,0.1718666666666666,0.17186667,0.0,0.0
2022-01-02 08:15:00,0.0,0.1933333333333333,0.19333333,0.0,0.0
2022-01-02 08:30:00,0.0,0.2025333333333333,0.13935841,0.0631749275804712,0.0
2022-01-02 08:45:00,0.0,0.1928666666666667,5.5884812,0.2816183755662604,0.0
2022-01-02 09:00:00,0.0,0.2621333333333333,0.0,0.6152137430732836,0.0
2022-01-02 09:15:00,0.0,0.1900666666666666,0.0,0.9824875984369436,0.0
2022-01-02 09:30:00,0.0,0.3999333333333333,0.0,1.340749171576358,0.0
2022-01-02 09:45:00,0.0,0.3373333333333333,0.0,1.6733101964851729,0.0
2022-01-02 10:00:00,0.0,0.4036,0.0,1.9744156725617168,0.0
2022-01-02 10:15:00,0.0,0.4108666666666666,0.0,2.242399358632209,0.0
2022-01-02 10:30:00,0.0,0.3895333333333333,0.0,2.477019189716102,0.0
2022-01-02 10:45:00,0.0,1.1565333333333334,0.0,2.6784627664952803,0.0
2022-01-02 11:00:00,0.0,2.6389333333333336,0.0,2.846991553804469,0.0
2022-01-02 11:15:00,0.0,4.3072,0.0,2.9828272066915216,0.0
2022-01-02 11:30:00,0.0,3.7878,0.0,3.0861277722799447,0.0
2022-01-02 11:45:00,0.0,3.026,0.0,3.156994480456376,0.0
2022-01-02 12:00:00,0.0,1.8984666666666667,0.0,3.195485798262956,0.0
2022-01-02 12:15:00,0.0,0.6499333333333333,0.0,3.2016298460939883,0.0
2022-01-02 12:30:00,0.0,0.9496,0.0,3.175431808021174,11.0
2022-01-02 12:45:00,0.0,2.402,0.0,3.116875188205663,11.0
2022-01-02 13:00:00,0.0,1.135,0.0,3.025916824982642,0.0
2022-01-02 13:15:00,0.0,0.3643333333333333,0.0,2.9024762817812464,11.0
2022-01-02 13:30:00,0.0,0.4634666666666666,0.0,2.74642192257301,11.0
2022-01-02 13:45:00,0.0,0.3340666666666667,0.0,2.557559893447712,0.0
2022-01-02 14:00:00,0.0,0.5416666666666666,0.0,2.3356421047372606,0.0
2022-01-02 14:15:00,0.0,0.4964666666666666,0.0,2.080434735589052,11.0
2022-01-02 14:30:00,0.0,0.5889333333333333,0.0,1.7919531471509498,11.0
2022-01-02 14:45:00,0.0,0.428,0.0,1.4711371836224167,11.0
2022-01-02 15:00:00,0.0,0.2295333333333333,0.0,1.121682486375323,11.0
2022-01-02 15:15:00,0.0,1.1878666666666666,0.0,0.7548408904200379,0.0
2022-01-02 15:30:00,0.0,0.4893333333333333,0.088389832,0.4009435010874262,0.0
2022-01-02 15:45:00,0.0,0.4201333333333333,0.0,0.1275308588883432,11.0
2022-01-02 16:00:00,0.0,0.8082666666666667,0.79648879,0.0117778811387495,0.0
2022-01-02 16:15:00,0.0,1.9302,0.0,0.0,11.0
2022-01-02 16:30:00,0.0,0.9628666666666666,0.96286667,0.0,0.0
2022-01-02 16:45:00,0.0,2.563266666666667,2.5632667,0.0,0.0
2022-01-02 17:00:00,0.0,0.6135333333333333,0.61353333,0.0,0.0
2022-01-02 17:15:00,0.0,3.965266666666667,0.0,0.0,11.0
2022-01-02 17:30:00,0.0,2.458266666666667,2.4582667,0.0,0.0
2022-01-02 17:45:00,0.0,15.152133333333332,15.152133,0.0,0.0
2022-01-02 18:00:00,0.0,5.087866666666667,5.0878667,0.0,0.0
2022-01-02 18:15:00,0.0,2.2394666666666665,2.2394667,0.0,0.0
2022-01-02 18:30:00,0.0,1.0146666666666666,1.0146667,0.0,0.0
2022-01-02 18:45:00,0.0,3.068,0.0,0.0,11.0
2022-01-02 19:00:00,0.0,2.062266666666667,2.0622667,0.0,0.0
2022-01-02 19:15:00,0.0,1.827,1.827,0.0,0.0
2022-01-02 19:30:00,0.0,1.9020666666666664,1.6388108,0.0,11.0
2022-01-02 19:45:00,0.0,1.9538666666666664,1.9538667,0.0,0.0
2022-01-02 20:00:00,0.0,1.3554666666666666,1.3554667,0.0,0.0
2022-01-02 20:15:00,0.0,1.2182,1.2182,0.0,0.0
2022-01-02 20:30:00,0.0,0.5989333333333333,0.59893333,0.0,0.0
2022-01-02 20:45:00,0.0,2.0126,2.0126,0.0,0.0
2022-01-02 21:00:00,0.0,0.9438,0.9438,0.0,0.0
2022-01-02 21:15:00,0.0,0.5892666666666666,0.58926667,0.0,0.0
2022-01-02 21:30:00,0.0,0.5806666666666667,0.58066667,0.0,0.0
2022-01-02 21:45:00,0.0,0.8266666666666667,0.82666667,0.0,11.0
2022-01-02 22:00:00,0.0,1.1756,1.1756,0.0,0.0
2022-01-02 22:15:00,0.0,1.7966,1.7966,0.0,0.0
2022-01-02 22:30:00,0.0,0.8066,0.8066,0.0,0.0
2022-01-02 22:45:00,0.0,0.5316666666666666,0.53166667,0.0,11.0
2022-01-02 23:00:00,0.0,0.5448666666666667,0.54486667,0.0,0.0
2022-01-02 23:15:00,0.0,0.5804,0.5804,0.0,0.0
2022-01-02 23:30:00,0.0,0.3585333333333333,0.35853333,0.0,0.0
2022-01-02 23:45:00,0.0,0.3113333333333333,0.31133333,0.0,0.0
2022-01-03 00:00:00,0.0,0.2405999999999999,0.2406,0.0,0.0
2022-01-03 00:15:00,0.0,0.3448,1.5670222,0.0,0.0
2022-01-03 00:30:00,0.0,0.2362666666666666,0.23626667,0.0,11.0
2022-01-03 00:45:00,0.0,0.2597333333333333,0.25973333,0.0,0.0
2022-01-03 01:00:00,0.0,0.309,0.309,0.0,0.0
2022-01-03 01:15:00,0.0,0.3583333333333333,0.35833333,0.0,0.0
2022-01-03 01:30:00,0.0,0.3857333333333334,0.38573333,0.0,0.0
2022-01-03 01:45:00,0.0,0.3863999999999999,0.3864,0.0,0.0
2022-01-03 02:00:00,0.0,0.361,0.361,0.0,0.0
2022-01-03 02:15:00,0.0,0.3185333333333333,0.31853333,0.0,0.0
2022-01-03 02:30:00,0.0,0.2716,0.2716,0.0,0.0
2022-01-03 02:45:00,0.0,0.2753333333333333,1.4975556,0.0,0.0
2022-01-03 03:00:00,0.0,0.1789333333333333,0.17893333,0.0,11.0
2022-01-03 03:15:00,0.0,0.1769333333333333,0.17693333,0.0,0.0
2022-01-03 03:30:00,0.0,0.2398,0.2398,0.0,0.0
2022-01-03 03:45:00,0.0,0.2676666666666666,0.26766667,0.0,0.0
2022-01-03 04:00:00,0.0,0.2185333333333333,0.21853333,0.0,0.0
2022-01-03 04:15:00,0.0,0.2868,0.2868,0.0,0.0
2022-01-03 04:30:00,0.0,0.2487333333333333,0.24873333,0.0,0.0
2022-01-03 04:45:00,0.0,0.2386,0.2386,0.0,0.0
2022-01-03 05:00:00,0.0,0.19,0.19,0.0,0.0
2022-01-03 05:15:00,0.0,0.2054666666666666,0.20546667,0.0,0.0
2022-01-03 05:30:00,0.0,0.2291333333333333,0.22913333,0.0,0.0
2022-01-03 05:45:00,0.0,0.2143333333333333,0.21433333,0.0,0.0
2022-01-03 06:00:00,0.0,0.3492666666666666,0.34926667,0.0,0.0
2022-01-03 06:15:00,0.0,0.3621333333333333,0.36213333,0.0,0.0
2022-01-03 06:30:00,0.0,0.28,0.28,0.0,0.0
2022-01-03 06:45:00,0.0,0.3157333333333333,0.31573333,0.0,0.0
2022-01-03 07:00:00,0.0,0.31,0.31,0.0,0.0
2022-01-03 07:15:00,0.0,0.3106666666666667,0.31066667,0.0,0.0
2022-01-03 07:30:00,0.0,0.3137333333333333,0.31373333,0.0,0.0
2022-01-03 07:45:00,0.0,0.3127333333333333,0.31273333,0.0,0.0
2022-01-03 08:00:00,0.0,0.2539333333333333,0.25393333,0.0,0.0
2022-01-03 08:15:00,0.0,0.2662,0.2662,0.0,0.0
2022-01-03 08:30:00,0.0,0.2941999999999999,0.22938709,0.0648129055894141,0.0
2022-01-03 08:45:00,0.0,0.3028666666666667,0.017276003,0.2855906639637612,0.0
2022-01-03 09:00:00,0.0,0.2528,9.1840009,0.6206064903683953,0.0
2022-01-03 09:15:00,0.0,0.4321333333333333,10.443547,0.9885859337916004,0.0
2022-01-03 09:30:00,0.0,0.3233333333333333,0.0,1.3472916415117868,0.0
2022-01-03 09:45:00,0.0,0.2645333333333333,0.0,1.6802627530442835,0.0
2022-01-03 10:00:00,0.0,0.3855333333333333,0.0,1.9818306056028163,0.0
2022-01-03 10:15:00,0.0,0.2768666666666666,0.0,2.250354561521006,0.0
2022-01-03 10:30:00,0.0,0.5869333333333333,0.0,2.4855947019869924,0.0
2022-01-03 10:45:00,0.0,0.3055333333333334,0.0,2.6877326126988823,0.0
2022-01-03 11:00:00,0.0,0.5284,0.0,2.8570216624098834,0.0
2022-01-03 11:15:00,0.0,0.6500666666666667,0.0,2.9936757006332657,0.0
2022-01-03 11:30:00,0.0,0.5812666666666666,0.0,3.0978461598450315,0.0
2022-01-03 11:45:00,0.0,1.961533333333333,0.0,3.169629183091266,0.0
2022-01-03 12:00:00,0.0,0.3958,0.0,3.209079824481498,0.0
2022-01-03 12:15:00,0.0,0.6102666666666666,0.0,3.216224576863532,0.0
2022-01-03 12:30:00,0.0,1.5918666666666663,0.0,3.1910689239995538,0.0
2022-01-03 12:45:00,0.0,1.5302666666666669,0.0,3.133598788897614,0.0
2022-01-03 13:00:00,0.0,0.5986666666666667,0.0,3.0437757766280007,11.0
2022-01-03 13:15:00,0.0,0.3119333333333333,0.0,2.921526764002841,0.0
2022-01-03 13:30:00,0.0,0.3936,0.0,2.7667299559777754,0.0
2022-01-03 13:45:00,0.0,0.318,0.0,2.5792031564824063,0.0
2022-01-03 14:00:00,0.0,0.2956666666666667,0.0,2.3587091653079364,0.0
2022-01-03 14:15:00,0.0,0.3017333333333333,0.0,2.10501685016746,0.0
2022-01-03 14:30:00,0.0,0.4624,0.0,1.8181161916621704,0.0
2022-01-03 14:45:00,0.0,0.3878666666666667,0.0,1.498841590337838,0.0
2022-01-03 15:00:00,0.0,0.3304666666666666,0.0,1.15056838866739,0.0
2022-01-03 15:15:00,0.0,0.3379333333333333,0.0,0.7836789194233218,0.0
2022-01-03 15:30:00,0.0,0.3535333333333333,0.0,0.4264302530192081,0.0
2022-01-03 15:45:00,0.0,0.4248,0.0,0.1432694161095004,0.0
2022-01-03 16:00:00,0.0,0.4732666666666666,0.0,0.015108190469185,0.0
2022-01-03 16:15:00,0.0,0.4921333333333333,0.0,0.0,0.0
2022-01-03 16:30:00,0.0,0.3879333333333333,0.0,0.0,0.0
2022-01-03 16:45:00,0.0,0.3779333333333333,0.0,0.0,0.0
2022-01-03 17:00:00,0.0,0.5602,0.0,0.0,0.0
2022-01-03 17:15:00,0.0,0.311,0.0,0.0,0.0
2022-01-03 17:30:00,0.0,0.3658666666666667,0.0,0.0,0.0
2022-01-03 17:45:00,0.0,0.3821333333333333,0.0,0.0,0.0
2022-01-03 18:00:00,0.0,0.428,0.0,0.0,0.0
2022-01-03 18:15:00,0.0,0.4073333333333333,0.0,0.0,0.0
2022-01-03 18:30:00,0.0,0.3039333333333333,0.0,0.0,0.0
2022-01-03 18:45:00,0.0,0.5022,0.0,0.0,0.0
2022-01-03 19:00:00,0.0,0.5136000000000001,0.0,0.0,0.0
2022-01-03 19:15:00,0.0,0.3198,0.0,0.0,0.0
2022-01-03 19:30:00,0.0,0.4795333333333333,0.0,0.0,0.0
2022-01-03 19:45:00,0.0,0.6484666666666667,0.0,0.0,0.0
2022-01-03 20:00:00,0.0,0.666,0.0,0.0,0.0
2022-01-03 20:15:00,0.0,2.066733333333333,0.0,0.0,11.0
2022-01-03 20:30:00,0.0,2.9363333333333337,0.0,0.0,11.0
2022-01-03 20:45:00,0.0,0.6008666666666667,0.0,0.0,11.0
2022-01-03 21:00:00,0.0,0.5869333333333333,0.0,0.0,11.0
2022-01-03 21:15:00,0.0,0.5705333333333333,0.57053333,0.0,0.0
2022-01-03 21:30:00,0.0,0.6330666666666667,0.0,0.0,11.0
2022-01-03 21:45:00,0.0,0.6098,0.6098,0.0,0.0
2022-01-03 22:00:00,0.0,0.6299333333333332,0.0,0.0,11.0
2022-01-03 22:15:00,0.0,0.6738666666666667,0.0,0.0,11.0
2022-01-03 22:30:00,0.0,1.0258666666666665,1.0258667,0.0,0.0
2022-01-03 22:45:00,0.0,0.6403333333333334,0.0,0.0,11.0
2022-01-03 23:00:00,0.0,0.5738666666666666,0.0,0.0,11.0
2022-01-03 23:15:00,0.0,0.4706,0.0,0.0,11.0
2022-01-03 23:30:00,0.0,0.5093333333333333,0.50933333,0.0,0.0
2022-01-03 23:45:00,0.0,0.3435333333333333,0.0,0.0,11.0
2022-01-04 00:00:00,0.0,0.5726,0.5726,0.0,0.0
2022-01-04 00:15:00,0.0,0.4781333333333333,0.47813333,0.0,0.0
2022-01-04 00:30:00,0.0,0.5733333333333334,0.57333333,0.0,0.0
2022-01-04 00:45:00,0.0,0.6166666666666666,0.61666667,0.0,0.0
2022-01-04 01:00:00,0.0,0.4042666666666666,0.40426667,0.0,0.0
2022-01-04 01:15:00,0.0,0.7240666666666667,0.72406667,0.0,0.0
2022-01-04 01:30:00,0.0,0.5524666666666667,0.55246667,0.0,0.0
2022-01-04 01:45:00,0.0,0.6134666666666667,0.39235812,0.0,11.0
2022-01-04 02:00:00,0.0,0.6283333333333334,0.62833333,0.0,0.0
2022-01-04 02:15:00,0.0,0.6254666666666667,0.62546667,0.0,0.0
2022-01-04 02:30:00,0.0,0.5661333333333334,0.56613333,0.0,0.0
2022-01-04 02:45:00,0.0,0.5658,0.5658,0.0,0.0
2022-01-04 03:00:00,0.0,0.6500666666666667,0.65006667,0.0,0.0
2022-01-04 03:15:00,0.0,0.3633333333333333,1.5855556,0.0,0.0
2022-01-04 03:30:00,0.0,0.7017333333333333,0.70173333,0.0,11.0
2022-01-04 03:45:00,0.0,0.3882,1.6104222,0.0,0.0
2022-01-04 04:00:00,0.0,0.5127999999999999,0.5128,0.0,11.0
2022-01-04 04:15:00,0.0,0.5302666666666667,0.53026667,0.0,0.0
2022-01-04 04:30:00,0.0,0.4408,5.8156085,0.0,0.0
2022-01-04 04:45:00,0.0,0.4355333333333334,0.43553333,0.0,0.0
2022-01-04 05:00:00,0.0,0.5124,0.5124,0.0,0.0
2022-01-04 05:15:00,0.0,0.5736666666666667,0.57366667,0.0,0.0
2022-01-04 05:30:00,0.0,0.5418,0.5418,0.0,0.0
2022-01-04 05:45:00,0.0,0.4605333333333333,0.46053333,0.0,0.0
2022-01-04 06:00:00,0.0,0.3383333333333333,0.33833333,0.0,0.0
2022-01-04 06:15:00,0.0,0.3872,0.3872,0.0,0.0
2022-01-04 06:30:00,0.0,0.5186000000000001,0.5186,0.0,0.0
2022-01-04 06:45:00,0.0,0.5524,0.5524,0.0,0.0
2022-01-04 07:00:00,0.0,0.4618666666666666,0.46186667,0.0,0.0
2022-01-04 07:15:00,0.0,0.5391333333333334,0.53913333,0.0,0.0
2022-01-04 07:30:00,0.0,0.4642,0.4642,0.0,0.0
2022-01-04 07:45:00,0.0,0.1925333333333333,0.19253333,0.0,0.0
2022-01-04 08:00:00,0.0,0.2018666666666666,0.20186667,0.0,0.0
2022-01-04 08:15:00,0.0,0.2152,0.2152,0.0,0.0
2022-01-04 08:30:00,0.0,0.2012666666666666,0.13424086,0.0670258111510524,0.0
2022-01-04 08:45:00,0.0,0.2476,0.0,0.2907868246933227,0.0
2022-01-04 09:00:00,0.0,0.2795333333333333,0.0,0.6275201908757448,0.0
2022-01-04 09:15:00,0.0,0.2242666666666666,0.0,0.9962694927797768,0.0
2022-01-04 09:30:00,0.0,0.2152666666666667,0.0,1.3553908687808842,0.0
2022-01-04 09:45:00,0.0,0.1905333333333333,0.0,1.6887150725922095,0.0
2022-01-04 10:00:00,0.0,0.2059333333333333,0.0,1.990684236592796,0.0
2022-01-04 10:15:00,0.0,0.2475333333333333,0.0,2.2596917113370947,0.0
2022-01-04 10:30:00,0.0,0.2929333333333333,0.0,2.495502005363953,0.0
2022-01-04 10:45:00,0.0,0.3475333333333333,0.0,2.698290755955078,0.0
2022-01-04 11:00:00,0.0,0.444,0.0,2.868302587066476,0.0
2022-01-04 11:15:00,0.0,0.2774666666666666,0.0,3.005742751057094,0.0
2022-01-04 11:30:00,0.0,0.5818,0.0,3.1107553407812896,0.0
2022-01-04 11:45:00,0.0,0.5279333333333333,0.0,3.1834308213571907,0.0
2022-01-04 12:00:00,0.0,0.3798,0.0,3.2238203897586875,0.0
2022-01-04 12:15:00,0.0,0.6266,0.0,3.231948608588381,0.0
2022-01-04 12:30:00,0.0,0.2723333333333333,0.0,3.2078210908227818,11.0
2022-01-04 12:45:00,0.0,0.5841333333333333,0.0,3.151426133144404,0.0
2022-01-04 13:00:00,0.0,0.3828,0.0,3.062730186222875,0.0
2022-01-04 13:15:00,0.0,0.5016,0.0,2.941667650587705,11.0
2022-01-04 13:30:00,0.0,0.5276666666666666,0.0,2.7881269362337844,0.0
2022-01-04 13:45:00,0.0,0.318,0.0,2.6019380737178626,0.0
2022-01-04 14:00:00,0.0,0.4035333333333333,0.0,2.382875640831063,0.0
2022-01-04 14:15:00,0.0,0.5609333333333333,0.0,2.130712673245593,0.0
2022-01-04 14:30:00,0.0,0.4478,0.0,1.8454165142313577,11.0
2022-01-04 14:45:00,0.0,0.698,0.0,1.527721850183071,11.0
2022-01-04 15:00:00,0.0,0.7796666666666666,0.0,1.18069671945369,11.0
2022-01-04 15:15:00,0.0,0.7706000000000001,0.0,0.8138824116744077,11.0
2022-01-04 15:30:00,0.0,0.844,0.0,0.4534974494822194,11.0
2022-01-04 15:45:00,0.0,0.6824,0.0,0.1607187930648273,11.0
2022-01-04 16:00:00,0.0,0.6706,0.0,0.0192851843496405,11.0
2022-01-04 16:15:00,0.0,0.8189333333333333,0.048608157,0.0,0.0
2022-01-04 16:30:00,0.0,0.8861333333333333,0.0,0.0,11.0
2022-01-04 16:45:00,0.0,1.114,0.0,0.0,11.0
2022-01-04 17:00:00,0.0,1.5484666666666669,0.0,0.0,11.0
